date,title,channel,section,counted_because,ai_mentions,url
2023-06-05,The Creator of ChatGPT on the Rise of Artificial Intelligence,online,podcast,tag,1,https://www.newyorker.com/podcast/political-scene/the-creator-of-chatgpt-on-the-rise-of-artificial-intelligence
2023-06-17,The Age of Chat,online,culture,tag,32,https://www.newyorker.com/culture/the-weekend-essay/the-age-of-chat
2023-06-21,What to Do About Fake Drake Songs,online,culture,tag,11,https://www.newyorker.com/culture/cultural-comment/what-to-do-about-fake-drake-songs
2023-07-11,My A.I. Writing Robot,online,culture,tag,26,https://www.newyorker.com/culture/infinite-scroll/my-ai-writing-robot
2023-07-24,Will Biden’s Meetings with A.I. Companies Make Any Difference?,online,news,tag,32,https://www.newyorker.com/news/daily-comment/will-bidens-meetings-with-ai-companies-make-any-difference
2023-07-26,A New Generation of Robots Seems Increasingly Human,online,tech,tag,13,https://www.newyorker.com/tech/annals-of-technology/a-new-generation-of-robots-seems-increasingly-human
2023-07-31,"I’m a Hack, by ChatGPT",print,magazine,headline,2,https://www.newyorker.com/magazine/2023/08/07/im-a-hack-by-chatgpt
2023-08-02,The Temptations of A.I. Companionship in “Rachels Don’t Run”,online,culture,tag,2,https://www.newyorker.com/culture/screening-room/the-temptations-of-ai-companionship-in-rachels-dont-run
2023-08-21,Elon Musk’s Shadow Rule,print,magazine,text (17 mentions),17,https://www.newyorker.com/magazine/2023/08/28/elon-musks-shadow-rule
2023-09-04,Can We Talk to Whales?,print,magazine,text (17 mentions),17,https://www.newyorker.com/magazine/2023/09/11/can-we-talk-to-whales
2023-09-15,A.I. and the Next Generation of Drone Warfare,online,news,tag,4,https://www.newyorker.com/news/news-desk/ai-and-the-next-generation-of-drone-warfare
2023-09-25,The Emotionally Haunted Electronic Music of Oneohtrix Point Never,print,magazine,text (9 mentions),9,https://www.newyorker.com/magazine/2023/10/02/the-emotionally-haunted-electronic-music-of-oneohtrix-point-never
2023-09-26,Rethinking the Luddites in the Age of A.I.,online,books,tag,11,https://www.newyorker.com/books/page-turner/rethinking-the-luddites-in-the-age-of-ai
2023-10-05,How Will A.I. Learn Next?,online,science,tag,53,https://www.newyorker.com/science/annals-of-artificial-intelligence/how-will-ai-learn-next
2023-10-11,Someday Robots Will Be Made of Memory,online,culture,tag,2,https://www.newyorker.com/culture/culture-desk/someday-robots-will-be-made-of-memory
2023-10-16,"What Happened to San Francisco, Really?",print,magazine,text (11 mentions),11,https://www.newyorker.com/magazine/2023/10/23/what-happened-to-san-francisco-really
2023-11-13,Sheila Heti Reads “According to Alice”,online,podcast,tag,5,https://www.newyorker.com/podcast/the-writers-voice/sheila-heti-reads-according-to-alice
